codigo;codigo_cliente
10080041;10177
10080108;10177
10080270;10177
10080280;10177
10080502;10177
10110222;10177
10110223;10177
10120111;10177
10120120;10177
10160140;10177
10182003;10177
10182004;10177
10222056;10177
10230001;10177
10230008;10177
10230009;10177
10230062;10177
10230924;10177
10231182;10177
10231195;10177
10231198;10177
10231222;10177
10235030;10177
10270760;10177
10270761;10177
10274044;10177
10274052;10177
10370212;10177
10370220;10177
10370380;10177
10370382;10177
10370391;10177
10370401;10177
10370402;10177
10370403;10177
10370424;10177
10370435;10177
10450025;10177
10450071;10177
10450098;10177
10450099;10177
10450215;10177
10450218;10177
10450235;10177
10450237;10177
10450289;10177
10450335;10177
10450336;10177
10450801;10177
10451161;10177
10866220;10177
12500049;10177
10450233;10177
10450437;10177
12540001;10177
12541004;10177
13500200;10177
13500201;10177
13621230;10177
13622200;10177
20326456;10177
29000481;10177
29000490;10177
29000510;10177
29000517;10177
29000518;10177
29000519;10177
29000520;10177
29000522;10177
29000524;10177
29000569;10177
10000003;10184
10011045;10184
10030198;10184
10041006;10184
10080270;10184
10080280;10184
10110223;10184
10120120;10184
10160050;10184
10170176;10184
10182003;10184
10182004;10184
10222056;10184
10230001;10184
10230016;10184
10230044;10184
10230071;10184
10235189;10184
10274032;10184
10274035;10184
10274041;10184
10274044;10184
10450234;10184
10450235;10184
10610001;10184
10680004;10184
10860027;10184
10860036;10184
10866220;10184
12610051;10184
12611030;10184
12613000;10184
12613005;10184
12613015;10184
13320100;10184
13320126;10184
13620855;10184
13621230;10184
13850005;10184
19000031;10184
19000032;10184
20100002;10184
20326461;10184
23131160;10184
29000481;10184
29000484;10184
29000486;10184
29000490;10184
29000499;10184
29000502;10184
29000505;10184
29000508;10184
29000513;10184
29000518;10184
29000520;10184
29000521;10184
29000523;10184
29000528;10184
29000529;10184
29000541;10184
29000543;10184
29000548;10184
10010155;10203
10010156;10203
10080280;10203
10230001;10203
10230008;10203
10230009;10203
10235030;10203
10235033;10203
10270760;10203
10270761;10203
10274041;10203
10450233;10203
10450437;10203
10861000;10203
10861010;10203
10861020;10203
10861030;10203
10861045;10203
12431000;10203
13480031;10203
13621230;10203
10011030;10242
10080040;10242
10080112;10242
10110147;10242
10110223;10242
10160050;10242
10160140;10242
10182004;10242
10182005;10242
10230009;10242
10274044;10242
10866220;10242
13621230;10242
29000540;10242
10866220;10243
10000003;10271
10010147;10271
10010151;10271
10010152;10271
10010167;10271
10041004;10271
10080033;10271
10080040;10271
10080041;10271
10080270;10271
10080280;10271
10120111;10271
10120120;10271
10160051;10271
10160051;10271
10160133;10271
10230001;10271
10230008;10271
10230009;10271
10230043;10271
10230071;10271
10230924;10271
10400421;10271
10450024;10271
10450070;10271
10450071;10271
10450126;10271
10450169;10271
10450364;10271
13620855;10271
13621230;10271
13850001;10271
13850065;10271
29000517;10271
29000522;10271
29000549;10271
10030198;10299
20310290;10299
29000517;10299
29000522;10299
29000538;10299
10011030;10317
10160050;10317
10160141;10317
10120120;10386
10160140;10386
10450049;10386
10450099;10386
10450233;10386
10450437;10386
13621230;10386
10000003;10462
10450224;10462
10450237;10462
10451133;10462
10866220;10462
23131160;10518
23131382;10518
29000481;10518
29000520;10518
29000521;10518
29000524;10518
29000538;10518
10011030;10618
10050052;10618
10200011;10618
10231160;10618
10231161;10618
10400310;10618
10680020;10618
10680023;10618
13131011;10618
13320100;10618
10120120;10623
10270500;10623
10000003;10675
10000047;10675
10000048;10675
10011030;10675
10041222;10675
10050101;10675
10080203;10675
10120120;10675
10160140;10675
10182003;10675
10230001;10675
10230009;10675
10230071;10675
10230924;10675
1027002501;10675
10274030;10675
10274032;10675
10274035;10675
10404004;10675
10450073;10675
10450289;10675
10866220;10675
10866233;10675
10866240;10675
29000498;10675
29000499;10675
29000501;10675
29000517;10675
29000524;10675
29000525;10675
29000549;10675
29000558;10675
10000003;10677
10005028;10677
10190060;10677
10270088;10677
10270089;10677
10270761;10677
10400310;10677
10680025;10677
10860201;10677
13500001;10677
13621230;10677
13850004;10677
29000549;10677
29000567;10677
10230001;10690
10230924;10690
10000003;10764
10010147;10764
10010155;10764
10011030;10764
10080270;10764
10080280;10764
10080502;10764
10120120;10764
10160050;10764
10160051;10764
10160140;10764
10182004;10764
10222056;10764
10230001;10764
10230008;10764
10230009;10764
10230043;10764
10450069;10764
10451162;10764
10866220;10764
13621230;10764
13850001;10764
13850003;10764
